name,host_id,room_type,price,minimum_nights,number_of_reviews
Stylish Studio Near Beach  Shopping & Nightlife,139646304,Entire home/apt,92,1,36
Beachside Modern Apartment - Pet Friendly,24124289,Entire home/apt,80,1,42
Artsy Bohemian Room,34954677,Private room,115,1,37
Miami! 2712 HYDE Beach Ocean View,130937953,Entire home/apt,124,2,25
Miami! 2912 HYDE Beach Ocean View,130937953,Entire home/apt,149,2,21
EXCELENT HOUSE  ALL THE PROPERTY,127006028,Entire home/apt,329,1,0
NEW ON THE MARKET - BEST INTRODUCTORY PRICES!,232818764,Entire home/apt,115,4,1
Florida get away,163179292,Private room,100,1,0
Very Special Very Loved Posh Penthouse,17044474,Entire home/apt,293,7,3
2 BEDROOM BUNGALOW+FREE PARK IN DOWNTOWN HOLLYWOOD,35553123,Entire home/apt,101,1,0
PRIVATE ROOM,150716631,Private room,30,2,10
Private Studio -- Private Entry -- Newly Renovated,48870569,Private room,51,1,75
Lux 30Floor  FullOceanView FullKitchen 250mbsWiFi,1833853,Entire home/apt,211,3,11
Cozy Loft in the Heart of the City,233169624,Entire home/apt,57,1,17
SeaLoft-Private Rm  semi-pvt entrance/shared bath,103169200,Private room,58,1,12
Deerfield Beach heated pool house,233172018,Entire home/apt,214,4,18
0.25 miles walking to the beach. Heated pool,188397431,Entire home/apt,356,5,44
WaterFront SE Corner 3BR 14Floor PrivateElevator,1833853,Entire home/apt,242,3,14
Beach Resort Villa on Atlantic Ocean in  Florida!,233211626,Entire home/apt,175,5,22
1 bedroom apartment at oceanmanor,44018370,Private room,200,1,1
Spence place 2,80136402,Private room,80,1,1
Wilton Manors Welcome You  (2),1099252,Private room,70,2,6
Apartament w/pool  parking slot  one block f/beach,12414210,Entire home/apt,100,28,0
Luxury Waterfront Apartment ☆☆☆☆☆,22605286,Entire home/apt,249,3,4
Centrally located townhome near HardRock,133296752,Entire home/apt,150,2,42
Hollywood Beach Studio  Steps to  Margaritaville,97087714,Entire home/apt,84,7,10
Charming & Cozy Studio,54222485,Entire home/apt,54,2,84
Ocean Breeze 5bd/3bath HEATED POOL 5 MIN to beach!,233422842,Entire home/apt,399,3,44
Direct Ocean view Studio 7-th floor,5611017,Entire home/apt,72,7,22
Guest beach house,189233862,Entire home/apt,79,1,53
Please Read my Reviews! Free Parking Garage!,163470337,Entire home/apt,84,2,51
Oceanview Studio on Fort Lauderdale Beach,233613027,Entire home/apt,100,3,0
Ocean View Studio in Iconic Hollywood Building,4394056,Entire home/apt,71,5,62
Stay Home  2br house. No contact check in/out,235900,Entire home/apt,80,10,20
Beautiful Condo in Hollywood Beach,52808779,Entire home/apt,275,1,0
Historic Santa Fe 100 y/o updated 2019 gorgeous!,207226759,Entire home/apt,364,3,0
Presidential Suite on Fort Lauderdale BEACH,77764840,Private room,607,2,3
Tropical Dream Heated Pool House,233172018,Entire home/apt,214,4,7
PH OCEANVIEW,637272,Entire home/apt,160,15,0
Cozy  Pompano Beach getaway w/ shared pool - walk to the beach!,174777032,Entire home/apt,123,3,4
Pvt House-Pvt Yard. 1.8 mi beach. Pets OK.,138362011,Entire home/apt,275,56,7
Intracoastal  Downtown Paradise,234095165,Entire home/apt,270,6,0
Beach Room,160422676,Private room,70,1,78
Ocean View One Bedroom Apt w/ Private deck,68099578,Entire home/apt,215,3,0
UPDATED BEACHFRONT CONDO,39977135,Entire home/apt,115,14,0
Super Luxury South West Corner Apartment +34Floor!,1833853,Entire home/apt,241,3,4
Bird living,231490576,Private room,100,2,2
326 Madison Beach House front of duplex,179346316,Entire home/apt,193,7,7
Steps from the ocean,52262823,Entire home/apt,157,5,0
BeachTime🏝Apt w/Rooftop Pools&Bar🌅🏝Hollywood Beach,228334,Entire home/apt,90,30,6
Beautiful Condo on Tides Resort on Hollywood Beach,33042137,Entire home/apt,107,1,5
Eco Studio/2 miles to Beach/Sleeps 5/WiFi/BBQ/11,2252443,Entire home/apt,69,2,27
Tropical One Bedroom apartment - One block to the beach,68099578,Entire home/apt,194,1,2
Private Room + Bath in home near airport & beach.,52399325,Private room,65,1,0
ft Lauderdale one bedroom home  beaches/boating,66812018,Private room,126,1,0
Sunny South Florida is waiting for you  come stay,234769891,Entire home/apt,72,2,62
LOCATION  LOCATION  LOC - You know the rest ;-),14501987,Entire home/apt,200,60,0
Hollywood Beach Home on the Boardwalk-1st floor,161968106,Entire home/apt,425,7,0
Beach lovers condo in Hallandale,34345742,Entire home/apt,90,30,5
Sawgrass mall 1 Bed / 1 Bath,55406399,Private room,40,2,58
Plazzo Nurmi - an amazing escape,235032075,Entire home/apt,2414,3,2
SEAVIEW! Beautiful apartment on the beach 1B/1B,216221964,Entire home/apt,96,5,17
Ocean Front Condo  Deerfield Beach  Ocean Club 201,156445375,Entire home/apt,280,6,0
Beach Front Condo  Deerfield Beach  Ocean Club 107,156445375,Entire home/apt,280,6,0
Ocean Club on Deerfield Beach  Unit 108,156445375,Entire home/apt,280,6,0
Endless Summer!!!,93937452,Entire home/apt,90,21,3
2019 MILLIONAIRE VACATION MANSION HOME NEAR BEACH,235287572,Entire home/apt,1153,3,29
Miami Beach  Hollywood,235280283,Entire home/apt,140,2,1
Private tropical garden...pool/spa...see reviews!,235444426,Entire home/apt,389,3,33
Best Area Spacious 4BR Heated Pool Mins To Beach,27675106,Entire home/apt,373,4,24
BEAUTIFUL BEACHWALK RESORT HALLANDALE 2B/2B,33295885,Entire home/apt,400,3,0
"Winter sale.
Beautiful condo for a great vacation.",235502023,Entire home/apt,89,2,37
Hyde Beach Resort 2 Bdrm Ocean View Pool  gym open,193204575,Entire home/apt,199,4,0
Antibacterial Clean Cute Private Door TV+HBO Rm #2,75490823,Entire home/apt,50,1,140
4 Bedroom House close to Cruise Port  Downtown FLL,191431216,Entire home/apt,399,1,52
🟢 Cozy & Comfortable Studio 🟢,205078166,Entire home/apt,58,1,279
Cozy fort laud...2 bedrooms 1 bath..hot tub home.,37038660,Entire home/apt,141,2,44
Full 1/1  house-private entrance & parking space.,235662653,Entire home/apt,75,2,25
Top Fort Lauderdale Condo 7th floor - Private and Sanitized  hotel amenities  free parking for stays over 27 days  400 ft from the beach. Hosted by Super Host!,66224640,Entire home/apt,139,3,14
A Quite Palace,45556364,Private room,40,1,36
House in Deerfield Beach 2 miles to the beach,232172878,Entire home/apt,79,2,51
1BR/1BATH Ocean View Apt at HYDE Resort!,148537888,Private room,177,1,0
2BR/2BATH with Ocean View Apt @ HYDE Beach Resort!,148537888,Private room,238,15,1
Ocean View 1BR/1BATH @HYDE Beach Resort #D212,148537888,Private room,171,2,0
Luxury Apartment by the Beach,219548386,Entire home/apt,120,20,6
Couple Retreat with a Forest like backyard,110035745,Private room,90,1,0
Beautiful Remodeled 2 bed room apartment on beach,5611017,Entire home/apt,126,7,8
2BR Condo Ft Lauderdale - Palm Aire (WorldMark),132470756,Entire home/apt,245,2,0
remodeled three bedroom home close to everything,19891340,Entire home/apt,140,1,37
AMAZING ON THE WATER MONTHLY AUGUST SPECIAL 18K,236116782,Entire home/apt,1085,3,29
House located close to las olas,74538223,Entire home/apt,180,90,0
AMAZING POOL HOUSE.  Close to beaches and malls!,51130450,Entire home/apt,306,3,86
Large Hollywood Beach Villa w/ Golf Course View,76641392,Entire home/apt,377,2,65
Cozy Apartment Home with Beautiful Private Pool,236390729,Entire home/apt,135,3,46
Luxury Condo  walking distance to the beach,94417949,Entire home/apt,56,7,22
NEW Beachfront Condo ROOFTOP infinity POOL 👙- FREE PARKING!!,110354593,Entire home/apt,130,2,13
DS | HYDE Hollywood Resort 2BR | Ocean View #3703 🌈  (Monthly Rental Available),230688372,Entire home/apt,148,1,31
Beach Walk Resort Suite 20,32573006,Entire home/apt,199,2,2
Sun & Fun Pompano Beach Condo,118816531,Entire home/apt,69,7,15
40 Sea&I Private Room in Distinctive Boutique,58759792,Entire home/apt,50,3,43
3-Min=Beach  Sleep 16  INCLUDES FREE Kayaks & CAR!,21660874,Entire home/apt,155,3,9
Lovely Hollywood home by the BEACH,78004800,Entire home/apt,170,1,2
LOVELY STUDIO/BATH  Hallandale Beach  FREE PARKING  SANITIZED (24HR GAPS) BEACHES AND POOL OPEN!,189474713,Entire home/apt,35,1,29
Apartment 4  w kitchen-Free parking close to beach,224628800,Private room,89,2,10
1 bed room with Direct Ocean and Palm views,5611017,Entire home/apt,77,7,18
Wonderful Studio/1Bath  Hallandale Beach  FREE PARKING  SANITIZED (24HR GAPS) BEACHES AND POOL OPEN!,189474713,Entire home/apt,31,1,39
2BR Luxury Suite #1 on Ocean Drive  Steps to Beach,21591506,Entire home/apt,199,6,1
5★Beach Paradise Resort | Hot tub & UNIQUE Rooftop pool- FREE PARKING!!,110354593,Entire home/apt,130,2,21
Green Room  Heart of Wilton Manor  Heated Pool,3685146,Private room,59,1,125
one bed one bath in the ocean,133223111,Entire home/apt,95,4,1
The Oasis Beach Suite at Fort Lauderdale Airport,87313961,Private room,43,1,216
Lauderdale-By-The-Sea Home - Walk to Beach!,126641496,Entire home/apt,248,7,6
Private Room in Miramar Home in Gated Community,232512030,Private room,50,3,7
Room in Miramar Home in Gated Community,232512030,Private room,50,3,6
5⭐ Sleep 12+ Just 3-Min to Beach +FREE RENTAL CAR!,21660874,Entire home/apt,117,2,6
Corner Apartment by Las Olas. Best location,116902698,Entire home/apt,140,3,28
Amazing ocean view at Hyde #2712,8988085,Entire home/apt,158,2,2
#1 ❤️ Spacious 1BR apt with All New Furniture,4246703,Entire home/apt,67,2,91
LUXURIOUS BRAND NEW APARTMENT HALLANDALE BEACH,237476701,Entire home/apt,209,1,30
Condo w/pool & BBQ area - steps to beach! Near dining/marina/fishing/tennis/golf,145210617,Entire home/apt,128,14,1
Hassle Free Short Term Rental in Miami.,146477617,Entire home/apt,150,1,2
King Room,234998253,Private room,76,2,1
2 Bedrooms OceanView @HydeResort&Residence 19thFL,27286534,Hotel room,250,1,26
Luxury Waterfront Apartment Unit ☆☆☆☆☆,22605286,Entire home/apt,109,3,16
Luxury Waterfront Apartment Suite ☆☆☆☆☆,22605286,Entire home/apt,149,3,15
* Pompano Beach Getaway FREE shuttle to the BEACH!,7558719,Private room,157,2,0
Runaway,228144559,Private room,300,4,0
VillaVanilla hip  lux  near beach  concert venues,159335399,Entire home/apt,125,3,15
Experience Life on a 50' Yacht at the Beach,237811043,Entire home/apt,259,3,7
Room close to beaches  casino  malls. Private bath,234747609,Private room,35,1,41
Private Hollywood APT Near Beach Airport & Casino,46632693,Entire home/apt,79,28,32
BEACHES OPEN! Cozy 2/1  King Bed  1 mi to beach.,10919955,Entire home/apt,84,3,70
Getaway vacation right on the beach!,172086637,Entire home/apt,199,15,0
Home Away From Home - Sunrise,13639932,Entire home/apt,90,3,51
Lovely Studio/Bath  Hollywood Beach  FREE PARKING  SANITIZED (24HR GAPS),189474713,Entire home/apt,43,1,82
Lovely Family Home Five Minutes from the Beach.,205790740,Entire home/apt,150,3,19
5 ★ Seaside Resort w/ Unique ROOFTOP infinity POOL | UP T0 6- FREE PARKING!!,110354593,Entire home/apt,133,2,14
HGTV INSPIRED - ★1 Listing / 4 apartments★,78977995,Entire home/apt,550,2,1
Comfy Room at a House on the canal!!,184107153,Private room,98,2,8
Little Resort Living in Miramar/Miami Area,234945199,Private room,75,1,49
Bee’s place /adult community,238293876,Private room,50,30,0
NEW LISTING  11TH-FLOOR WITH STUNNING VIEWS! Tiffany house `The Gale` building includes VALET PARKING  CLUBHOUSE WITH BILLIARDS  POOL  THEATRE ROOM  GYM  ONE BLOCK FROM BEACH  DOG FRIENDLY. Hosted by Super Host!,66224640,Entire home/apt,306,3,3
1 Listing / 3 Apartments - Great for groups!,78977995,Entire home/apt,299,1,0
#7 ⭐ Beautiful Salt Water Pool & Sun Deck,4246703,Entire home/apt,61,1,53
Amazing ocean view unit at Hyde #2912,8988085,Entire home/apt,182,2,3
POOL-FACING STUDIO/1BATH  Hallandale Beach  FREE PARKING  SANITIZED (24HR GAPS) BEACHES AND POOL OPEN!,189474713,Entire home/apt,32,1,79
Sunny Plantation Florida Retreat,238510111,Private room,500,2,0
Luxurious Apartment at Hyde Resort 2711,54772526,Entire home/apt,250,5,0
VIP Accommodations - One room   king bed   Private bathroom,228756938,Private room,380,1,1
"NEW-Large House with Roof Top 
close to Everything",191431216,Entire home/apt,399,1,32
VIP Accommodations - one room double queen beds and sofa bed  private b,228756938,Private room,380,1,1
Steps To Downtown Las Olas in Fort Lauderdale,159254720,Private room,95,1,10
BW-2606 / 2 Bedroom Unit,51433847,Entire home/apt,185,2,2
HYDE-3004 / Luxury Ocean Front 2 Bed 2 Bath,51433847,Entire home/apt,240,2,2
Hyde-602 / Spectacular 1 Bedroom with View,51433847,Entire home/apt,193,2,0
Beautiful 1 bedroom apartment on the ocean.,236196711,Entire home/apt,70,30,16
Hyde Beach Resort. Apartment 2 Bedroom OceanFront,95908526,Entire home/apt,375,1,0
Hyde Beach Resort. Apartment 1 Bed Ocean View,95908526,Entire home/apt,247,1,4
Hyde Beach Resort. Apartment 2 Bed Partial Ocean,95908526,Entire home/apt,298,1,3
Hyde Beach Resort. Apartment 1 Bed Partial Ocean,95908526,Entire home/apt,226,1,2
Luxurious Private home w/ heated pool & spa,73023807,Entire home/apt,260,4,17
Beautiful Condo on Tides Resort in Hollywood,33042137,Entire home/apt,100,2,9
This Must Be The Place Fort Lauderdale,148612689,Entire home/apt,150,2,29
Beach Town Getaway W/ Heated Saltwater Pool & Tiki,70563805,Entire home/apt,209,5,54
Lovely 2 story pool home   in Sunny Florida.,121924373,Private room,65,2,3
Private room.,229624594,Private room,60,7,0
Welcome to Deerfield Beach! Delightful Apartment.,238925296,Entire home/apt,99,2,41
5⭐ & 3-Min=Beach/Sleep 12+ FREE CAR & Watersports!,21660874,Entire home/apt,119,180,13
Spectacular 2 bed 2 bath Apt--All Furnished !!,194575682,Entire home/apt,249,10,0
Small paradise! Close to Hard Rock Stadium,238995263,Entire home/apt,56,2,25
Beautifully renovated apartment in Pembroke Pines,96458482,Entire home/apt,100,10,9
Sunny Plantation Florida Private Room2 Shared Bath,238510111,Private room,75,2,0
Sunny Plantation Florida Private Room 3,238510111,Private room,75,2,0
Sunny Plantation Florida Private Room4 with 2 Beds,238510111,Private room,75,2,4
Sunny Plantation Florida Private Room and Bath Rm5,238510111,Private room,75,2,3
Great home in Davie minutes from major Colleges,228394481,Private room,125,1,3
Ocean View 1BR/1BATH at HYDE Beach Resort!,148537888,Private room,175,1,0
HYDE-2808/ Incredible Ocean view  2 Bed 2 Bath,51433847,Entire home/apt,225,2,1
Cozy studio w/ patio area. No contact check in/out,235900,Entire home/apt,83,3,20
LUXURY Brand New Condo-Hotel STEPS From The Beach!,217793273,Entire home/apt,250,3,2
Cozy Apartment at Hallandale area close to the Beach,35638629,Entire home/apt,101,1,27
Amazing Beach House - Steps to the beach!,120209357,Entire home/apt,461,5,14
Plantation Living,2980266,Private room,99,15,0
Tropical sensation w/ full kitchen  shared pool  and grills - walk to beach,145210617,Entire home/apt,125,3,1
Cozy One Bedroom in Ft. Lauderdale,88956280,Entire home/apt,60,2,14
Room with a private bathroom for female guests,213408637,Private room,35,10,0
1 Bedroom Apartment a Block from the Beach,24124289,Entire home/apt,80,2,37
Vacation home  Close to Miami and Ft. Lauderdale,222603915,Entire home/apt,126,2,18
HYDE-1006 / Ocean View 2 Bedrooms  2 Bathrooms at Hyde Resort!,51433847,Entire home/apt,276,2,4
Beautiful waterfront condo  1 block to the beach!,239850582,Entire home/apt,118,1,96
HUGE HEATED POOL - 3BD/3BR IDEAL FOR FAMILIES : ),106840816,Entire home/apt,320,3,22
Hyde -3308 / 2 Bedroom  2 Bath,51433847,Entire home/apt,235,2,2
WOW  Hidden Gem Private Boutique Bungalow Get-Away,3108394,Entire home/apt,110,5,14
1989 63 foot Hetteras yacht for daily rental,212146345,Entire home/apt,4650,2,0
CABANA LODGE 2 @ OASIS,43304588,Private room,119,1,1
Fantastic House,240056847,Entire home/apt,79,30,2
Pompano Beach -Corner unit spacious 2 bedrm 2 bath,239953763,Entire home/apt,91,5,4
OCEAN VIEW Balcony-BEACHFRONT CONDO 1 BDRM⛵️,110354593,Entire home/apt,137,2,5
1BR/1BATH Ocean View Apt at HYDE Resort!,148537888,Private room,169,2,1
Fully renovated unit minutes away from the beach02,59053818,Private room,170,7,0
Renovated 1 bdr unit + kitchen at Knights inn 61,59053818,Private room,171,7,1
Renovated 1 bdr unit at Knights Inn+ kitchen 84,59053818,Private room,207,7,0
Hyde Resort ocean view 32 floor unit  Miami,240442659,Entire home/apt,189,3,23
Cozy 2 Bedrooms Water view unit at the Beachwalk,162296421,Entire home/apt,127,3,13
Marriott Beach Place Towers Nov 20-27  Sleeps Four,96019,Entire home/apt,173,7,2
Beautiful bedroom close to the beach,53742437,Private room,55,2,30
Cozy room at Fort Lauderdale.,5514632,Private room,35,1,30
Comfy Bedroom at Fort Lauderdale.,5514632,Private room,40,1,24
Step from the beach # 1,152162156,Entire home/apt,120,2,84
Step from the beach # 4,152162156,Entire home/apt,165,2,65
Minute from the beach # 6,152162156,Entire home/apt,71,2,67
3/1 Remodeled  2 miles FROM LAS OLAS BCH/DOWNTOWN,240785790,Entire home/apt,195,1,2
Saltwater Suites,240992641,Entire home/apt,199,4,5
Private Residence at Conrad Fort Lauderdale -1017,2152305,Entire home/apt,395,3,0
Spectacular Mansion! 7BR with Pool & Jacuzzi,65656643,Entire home/apt,667,1,14
Lovely Studio/Bath  Hollywood Beach  FREE PARKING  SANITIZED (24HR GAPS),189474713,Entire home/apt,31,1,59
Blue Escape modern 1bdrm 2miles to Hollywood Beach,163367426,Entire home/apt,79,4,49
Lindo departamento con salida al mar!,29028383,Entire home/apt,182,1,0
Apartment 1b/1b Beachwalk Resort,33295885,Entire home/apt,270,3,0
Apartment 1b/1b Beachwalk Resort,33295885,Entire home/apt,270,3,0
Lauderdale-by-the-Sea  Aqua Vista  -TerraMarIsland,54087771,Entire home/apt,599,3,14
Endless Summer,240153852,Entire home/apt,245,5,13
Marriott's BeachPlace Towers Fort Lauderdale,241311689,Private room,500,5,4
Ocean View 1BR/1BATH  at HYDE Beach Resort!,148537888,Private room,173,2,0
2BR/2BATH with Panoramic View at Beachwalk Resort!,148537888,Entire home/apt,257,2,0
Las Olas Oasis w/ Pool & Spa - Walk to Restaurants,104693659,Entire home/apt,435,3,0
Cozy Studio/1Bath  Hallandale Beach  FREE PARKING  SANITIZED (24HR GAPS) BEACHES AND POOL OPEN!,189474713,Entire home/apt,47,1,60
Apartment 1b/1b Beachwalk Resort,33295885,Entire home/apt,270,3,1
4/4 Hollywood ❤️ House near Beach,29040778,Entire home/apt,295,3,3
Apartment 1b/1b Beachwalk Resort,33295885,Entire home/apt,250,3,0
❤️King&Queen Bed✯ w/ Patio*Close 2 Beach⛱Sleeps 4,8065799,Entire home/apt,116,2,36
Lxury RV 2 minutes from the Hard Rock Guitar,184888270,Entire home/apt,95,2,10
1 bedroom 1 bathroom apartment close to everything,240069581,Entire home/apt,65,3,35
Incredible Condo South Florida Experience,85367943,Entire home/apt,120,20,2
1 bedroom apartment at oceanmanor,44018370,Private room,173,1,3
Habitacion cuadruple,129120009,Private room,100,1,4
MODERN-APT-NEAR PORT.AIRPORT BEACH-CASINOS-MALLS,157255430,Entire home/apt,140,1,47
Studio Beachwalk Resort,33295885,Entire home/apt,250,3,1
Studio Beachwalk Resort,33295885,Entire home/apt,250,3,1
Studio Beachwalk Resort,33295885,Entire home/apt,250,3,1
Studio Beachwalk Resort,33295885,Entire home/apt,250,3,2
Beachwalk Premium View Studio  2 full size bed.,241699794,Hotel room,90,2,39
Close to beach-Downtown-Airport-Whole Apt 1  Pool,93922918,Entire home/apt,149,3,36
Apartment 2b/2b Beachwalk Resort,33295885,Entire home/apt,234,3,2
Apartment 2b/2b Beachwalk Resort,33295885,Entire home/apt,287,3,0
Apartment 2b/2b Beachwalk Resort,33295885,Entire home/apt,500,3,0
Apartment 2b/2b Beachwalk Resort,33295885,Entire home/apt,500,3,0
Panoramic Views 1 bdr at Beach Walk 27th Floor,130937953,Entire home/apt,122,2,2
Zen Vacation Rentals  Modern on the Ocean Nati,7624914,Entire home/apt,175,3,4
Home Sweet Home with Pool and Basketball net,127592378,Entire home/apt,311,2,22
LUXURY STUDIO #14  CLOSE TO THE BEACH.,230538463,Entire home/apt,42,1,59
★ GORGEOUS STYLISH  RETRO FUTURISTIC HIDEOUT ★,185482180,Entire home/apt,57,1,40
SoFlo RV Experience,241024244,Entire home/apt,75,1,26
Efficiency city view at oceanmanor,44018370,Private room,135,1,2
Destiny home,156593288,Private room,45,1,4
Beach Club,242019520,Entire home/apt,71,1,11
Spacious Home in Great Location No Cleaning Fee,113595106,Entire home/apt,110,4,49
Cozy &Comfy Suite w/Private Entrance near Sawgrass,242132984,Entire home/apt,40,2,26
Ft. Lauderdale apartment near airport and cruises!,1688983,Entire home/apt,116,3,28
Waterfront Vacation Home: heated Pool  4 bed/3bath,240541667,Entire home/apt,307,3,15
Minute from the beach # 2,152162156,Entire home/apt,71,2,77
Minute from the beach # 3,152162156,Entire home/apt,69,2,81
Waterfront 2BR Ft Lauderdale Beachplace Villa,236664052,Entire home/apt,400,3,1
Waterfront 1BR Ft Lauderdale Beachplace Villa,236664052,Entire home/apt,300,3,0
Studio with Panoramic Views at Beach Walk 27th Floor,130937953,Entire home/apt,77,2,8
Apartment 1b/1b Hyde Resort 702,33295885,Entire home/apt,400,3,0
Apartment 1b/1b Hyde Resort,33295885,Entire home/apt,500,3,1
Cute Studio/1Bath  Hallandale Beach  FREE PARKING  SANITIZED (24HR GAPS) BEACHES AND POOL OPEN!,189474713,Entire home/apt,31,1,33
Serenity Shores - Penthouse by the  Sea,242558656,Entire home/apt,112,14,7
Apartment 2b/2b Hyde Resort,33295885,Entire home/apt,369,3,1
PROMO!! Apartment 2b/2b Hyde Resort,33295885,Entire home/apt,339,3,1
Apartment 2b/2b Hyde Resort,33295885,Entire home/apt,386,3,0
Apartment 2b/2b Hyde Resort 2005,33295885,Entire home/apt,337,3,2
Apartment 2b/2b Hyde Resort,33295885,Entire home/apt,385,3,1
Apartment 2b/2b Hyde Resort 1604,33295885,Entire home/apt,415,3,0
Apartment 2b/2b Hyde Resort 2703,33295885,Entire home/apt,400,3,1
Apartment 2b/2b Hyde Resort,33295885,Entire home/apt,387,3,0
Luxury lifestyle,123982562,Private room,95,1,3
Private Home/ Entire efficiency apartment Unit #8,226679652,Entire home/apt,45,2,84
Ocean marine yatch club,5768088,Entire home/apt,66,180,0
Apartment 1b/1b Beachwalk Resort,33295885,Entire home/apt,270,3,0
Apartment 1b/1b Beachwalk Resort,33295885,Entire home/apt,270,3,0
Apartment 1b/1b Beachwalk Resort,33295885,Entire home/apt,270,3,0
Apartment 1b/1b Beachwalk Resort,33295885,Entire home/apt,270,3,1
Apartment 1b/1b Beachwalk Resort,33295885,Entire home/apt,270,3,0
Studio Beachwalk Resort,33295885,Entire home/apt,240,3,1
Studio Beachwalk Resort,33295885,Entire home/apt,250,3,0
Studio Beachwalk Resort,33295885,Entire home/apt,250,3,0
Studio Beachwalk Resort,33295885,Entire home/apt,250,3,4
❂Modern ❂ Beachside ❂ Apartment on Deerfield Beach,242716878,Entire home/apt,125,7,1
Apartment 2b/2b Beachwalk Resort,33295885,Entire home/apt,287,3,0
Apartment 2b/2b Beachwalk Resort,33295885,Entire home/apt,234,3,0
Apartment 2b/2b Beachwalk Resort,33295885,Entire home/apt,500,3,0
Apartment 2b/2b Beachwalk Resort,33295885,Entire home/apt,500,3,1
Apartment 2b/2b Beachwalk Resort,33295885,Entire home/apt,700,3,0
1218-Sea Air Tower Condo -Ocean  Intercoastal View,217220289,Entire home/apt,115,14,2
Amazing 2 Bedroom Oceanview at Hide Beach Resort,165210373,Entire home/apt,199,4,3
2 Bdrm Oceanview with Balcony at Hide Beach Resort,193204575,Entire home/apt,196,5,12
Quiet and clean getaway,74912797,Entire home/apt,150,7,4
Holiday Penthouse unit on the Beach,34345742,Entire home/apt,98,30,1
Marriott's BeachPlace Towers (SUPER BOWL WEEK),241311689,Private room,500,4,0
Beach Resort One,42634041,Entire home/apt,136,2,27
Beach Resort Two,42634041,Entire home/apt,136,2,21
Waterview home w/ two enclosed patios - close to the beach & town,145210617,Entire home/apt,397,2,13
**Home away from home** 1- Bedroom Apartment,196408400,Entire home/apt,59,2,0
Surfsider Resort - One Bedroom Apartment,196408400,Entire home/apt,59,2,2
Guest Suite with Private Bath  Near Beach  Airport,6339002,Private room,49,2,4
Remodeled! 5min to BEACH  Airport & Downtown FTL,162829144,Entire home/apt,277,3,22
Ocean & Bay View Residence 1 Bed 1 Bath @ Beachwalk 1104A,51433847,Entire home/apt,174,2,0
Sunshine Villa,61739325,Entire home/apt,167,3,23
Queen Studio Up to 2 p. - Caribbean Suites Hotel,128977594,Hotel room,132,1,0
King Studio Up to 2 P. - Caribbean Suites Hotel,128977594,Hotel room,144,1,0
FUN AND COZY Boutique Unit In Hollywood,70245508,Entire home/apt,75,3,23
Ex-large studio in the heart of Ft. Lauderdale,181661367,Entire home/apt,79,5,13
1BR/1BATH Ocean View Apt at HYDE Beach Resort!,148537888,Private room,184,1,0
Hard Rock hotel luxury Vila!,23872128,Entire home/apt,450,3,35
Junior Suite Up to 3 p. - Caribbean Suites Hotel,128977594,Hotel room,196,1,1
Exclusive Suite Up to 5 p. - Caribbean Suite Hotel,128977594,Hotel room,431,1,0
*Private Garden retreat in Miramar*,119328905,Private room,150,7,2
Fort Lauderdale Oasis,33429404,Entire home/apt,399,4,18
❂❂Modern ❂ Beachside ❂Apartment on Deerfield Beach,39341258,Entire home/apt,125,7,8
Private Pool Trendy 4BR House with Work Station & Gameroom,45914148,Entire home/apt,324,1,49
bright shiny lights studio,73160636,Entire home/apt,109,3,22
Relaxing Apartment Home in Downtown Hollywood  FL,236390729,Entire home/apt,90,3,24
Cozy,158620373,Entire home/apt,50,1,38
Modern Luxury house 4 Bedroom 2.5 baths.,243659520,Entire home/apt,221,2,25
PRIVATE BEACH  DIRECT OCEAN VIEWS  FORT LAUDERDALE,17346641,Entire home/apt,118,2,32
BEAUTIFUL 1BR full apartment in Hollywood,70245508,Entire home/apt,70,3,73
Crisp  Clean and Cozy,232272632,Entire home/apt,80,30,0
Private Room in Fort Lauderdale! (Men Only),54292552,Private room,60,1,11
Spacious Location Great Community Close to Beach,17038077,Entire home/apt,284,4,29
The Pad @ Middle River Terrace #1 - Renovated!,63824862,Entire home/apt,63,1,79
tree home,42963668,Entire home/apt,139,150,1
The Pad @ Middle River Terrace #2 - Renovated!,63824862,Entire home/apt,65,1,71
The Pad @ Middle River Terrace #3 - Renovated!,63824862,Entire home/apt,67,1,78
🐠Home Away From Home! 60 Seconds 2 The Beach! 🐬,6954337,Entire home/apt,330,1,24
Private room in spacious townhouse,53482710,Private room,40,1,87
Jo's Serene  home/Upscale,120876435,Private room,50,1,5
Hyde Beach Resort. Aparment 2 Bedroom OceanView,95908526,Entire home/apt,324,1,7
Hyde Beach Resort Apartment One Bed OceanFront,95908526,Entire home/apt,264,1,1
Livin' La Vida Local -Walk to downtown & Las Olas,35824981,Entire home/apt,106,3,34
PRIVATE  ENTRANCE/ bathrm&Room2 miles LAS OLAS bch,240785790,Private room,48,1,13
Extended Stay 3 months+,51414119,Private room,75,90,1
Intracoastal Pool Home steps to Beach and Las Olas,17038077,Entire home/apt,208,4,13
NEW! Huge Fort Lauderdale Condo <5 Mi to the Beach,90119256,Entire home/apt,87,1,108
RETRO MÖDERN ROOM PRVT ENTRANCE by AIRPORT+CRUISE,244338987,Private room,39,1,319
RETRO MODERN ROOM PRVT ENTRÂNCE by AIRPORT+CRUISE,244338987,Private room,39,1,314
