name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
Wyldwood Tennis & Swim Retreat,Entire home/apt,799,3,32,1.07
420-friendly  Chill Space Just for You,Entire home/apt,76,1,45,1.45
Sam’s Town Point Spacious South Austin Bunkhouse,Entire home/apt,85,1,112,3.8
Luxurious Austin Condo - Studio Deluxe,Entire home/apt,179,2,9,0.29
Beautiful 5 bedrooms home for friends and family!,Entire home/apt,357,2,55,1.78
Elegant  Rustic Home Minutes from the Domain,Entire home/apt,243,7,18,0.59
1/1 Private Studio in Hyde Park -  Central Austin,Entire home/apt,72,2,114,3.69
Custom Modern Architecture Oasis with Outdoor Pool,Entire home/apt,1317,3,7,0.24
Serenity and Style in East Austin,Private room,50,2,102,3.31
Eastside fully private cute 2bedroom -SO MANY beds,Entire home/apt,67,1,122,4.04
Lucky 13 Apt ❤2BR|Parking|Wifi|AC|Google|Family,Entire home/apt,64,1,97,3.11
East Austin master bedroom 10 mins to downtown,Private room,29,2,18,0.58
AUSTIN LAKE HOUSE- A SHORT WALK TO LAKE AUSTIN SPA,Entire home/apt,256,1,23,0.75
Downtown Adjacent Clarksville Gem in the Heart of Austin,Entire home/apt,125,3,40,1.34
Downtown Austin - 2 Bedroom Condo,Entire home/apt,295,2,5,0.17
Home away from home!,Entire home/apt,100,2,0,
Modern guesthouse in historic East Austin,Entire home/apt,121,2,44,1.42
Mariposa House - all backgrounds welcomed!,Private room,48,1,14,0.47
Quaint room in North Austin — business / tech,Private room,50,1,0,
Austin Getaway with Pool in Northwest Hills,Entire home/apt,230,2,1,0.03
Bedroom 2 with shared bathroom,Private room,28,1,153,5.09
Gated Private Estate on Lake Austin,Entire home/apt,995,3,3,0.1
Elegantly Furnished Condo,Entire home/apt,140,60,0,
ZTOWN,Private room,249,1,0,
New Home with lots of extras,Entire home/apt,275,3,15,0.49
“Dolce Vita” North Central Austin,Entire home/apt,86,2,85,3.04
Contemporary Lake Austin Estate. Eleven Minutes to Downtown,Entire home/apt,357,30,11,0.36
Spacious  newly remodeled condo - Near Arboretum,Entire home/apt,189,2,23,0.77
Super Cute Private 1 Bedroom w/ Private Bath!,Private room,39,1,0,
3 Bedroom Presidential Suite - Wyndham Austin,Private room,429,3,0,
Cute Austin Apartment Near Downtown,Entire home/apt,50,2,7,0.24
Modern Designer Home in Travis Heights Steps from SOCO,Entire home/apt,341,2,66,2.19
Stylish home in quiet neighborhood  East Central,Entire home/apt,135,2,8,0.27
Cozy cool Apartment on the EastSide,Entire home/apt,100,1,0,
★Cute East Austin Home★Patio★Walkable!★,Entire home/apt,109,2,4,0.13
Austin  TX  Studio Deluxe #2,Entire home/apt,179,2,17,0.62
Austin  TX  Studio Deluxe #1,Entire home/apt,179,2,3,0.12
Downtown Austin,Entire home/apt,150,1,3,0.1
Private room  bath  entrance  and office - sublet!,Private room,30,21,0,
South Austin Zen Den! Walk Everywhere!,Entire home/apt,228,2,44,1.57
Evans: Central Austin Young Professional Community,Private room,37,29,3,0.11
Shine so Bright,Private room,25,45,0,
Clean and cool apartment off South Lamar,Entire home/apt,79,1,1,0.03
Spectacular East Austin Home w/Private Pool  Backyard Oasis & perfect locale for ACL  COTA  SXSW.,Entire home/apt,2570,2,2,0.07
Cozy  Witchy  Central Apartment + Optional Tarot,Entire home/apt,106,2,4,0.13
LAKE TRAVIS WATER-VIEW RESORT-STYLE HOME WITH POOL,Entire home/apt,1047,2,19,0.67
Minimalist 1300 sqft townhouse close to The Domain,Private room,75,1,0,
Spacious Room+Private Bath/Near airport & downtown,Private room,52,1,69,2.32
ATX Amazing House with Big Backyard (Entire House),Entire home/apt,169,1,12,0.41
Luxury living in iconic South Congress area,Entire home/apt,180,1,12,0.39
Crestview Station Casa,Entire home/apt,77,1,104,3.38
Stunning  Bungalow Downtown Austin Home.,Entire home/apt,464,2,58,2.02
San Marin Apt Room,Private room,41,1,4,0.14
The Glendale Getaway-Close to SoCo/Downtown,Entire home/apt,196,1,93,3.41
Austin Home with a View like a Treehouse,Private room,31,30,3,0.11
Bedroom 1 with shared bathroom,Private room,26,1,120,3.95
Private Room in Hyde Park!,Shared room,32,30,1,0.04
Austin One bedroom condos,Entire home/apt,332,2,2,0.08
Central-West Austin Treehouse,Entire home/apt,300,2,60,2
Zen Space in Fabulous 78704  Walk to Town Lake etc,Entire home/apt,69,5,2,0.07
♥♥ of Downtown/Free parking/King Bed!! ♥♥,Entire home/apt,171,180,47,1.59
1 BR Deluxe Wyndham in Downtown Austin  Texas,Private room,199,2,0,
2 BR Presidential Club Wyndham downtown Austin,Private room,310,2,10,0.35
Hill Country Honeymoon Suite,Entire home/apt,110,7,28,0.96
Sweet home,Entire home/apt,141,2,46,2.99
Luxury Lake Travis Villa w/ Panoramic Views - 25 minutes to Downtown | Professionally Cleaned + Hosted By GuestSpaces,Entire home/apt,801,2,71,2.37
Eclectic & Walkable North Loop Escape,Entire home/apt,92,1,14,0.47
Stylish Meets Rustic at a New Downtown Condo,Entire home/apt,123,2,137,4.52
Relax and enjoy. Huge master bedroom and bath,Private room,25,1,33,1.1
Adorable Travis Heights charmer on a quiet street,Entire home/apt,184,3,49,1.62
Encino Viejo (Old Oak)-Ranch Style Home on 5 Acres,Entire home/apt,406,2,7,0.44
2 bed/2 bath near downtown Austin,Entire home/apt,100,2,3,0.1
Great spot to explore Austin. Close to Zilker & DT,Entire home/apt,192,2,137,4.72
Peaceful Guesthouse 1 mile from Downtown,Entire home/apt,131,1,20,0.67
Cozy Bachelor Pad,Entire home/apt,60,3,1,0.03
South Austin Cottage,Entire home/apt,129,2,17,0.57
★ Private Room: 5 Min To Airport + Extras ★,Private room,36,1,155,5.31
Beautiful apartment on 5 acres near Texas capital,Private room,89,3,34,1.47
Little blue vintage house in East Austin,Entire home/apt,66,2,19,0.64
Attn: 1st Responders: 1 Block off SoCo - No Car Needed! Walk to Dining  Shopping & More! Free WiFi,Entire home/apt,163,2,2,0.08
MrAtxPlace,Shared room,25,1,5,0.17
Central ATX serenity retreat!,Entire home/apt,500,5,6,0.2
2/1.5 Townhome in Central Austin with Patio,Entire home/apt,175,2,36,1.26
Spacious west campus condo near downtown Austin!,Entire home/apt,125,1,18,0.6
Hyde Park Craftsman Guest House,Entire home/apt,193,2,45,1.78
Minimal Candy Colored Austin Hideaway,Entire home/apt,45,3,17,0.58
AMAZING DOWNTOWN VIEW! CLOSE TO EVERYTHING!,Entire home/apt,90,1,15,0.71
Austin City Limits Home,Entire home/apt,1000,2,0,
Charming South Congress Restored Cottage  2/1,Entire home/apt,425,2,0,
Sunny Room near Downtown,Private room,40,2,25,0.86
Huge Modern Loft in the Heart of East 6th Street,Entire home/apt,98,1,185,6.19
Cozy Room in the Best Neighborhood in Austin,Private room,85,3,5,0.17
Spacious Modern Home in Austin - Perfect Location,Entire home/apt,1400,2,4,0.16
Beautifully Designed Private Room in Austin,Private room,79,2,10,0.35
Jollyville,Entire home/apt,40,1,5,0.29
Thrifty & Functional Eastside 2Bd Apt near Downtwn,Entire home/apt,63,1,100,3.36
North Austin Zen Retreat,Private room,42,1,18,0.61
Cozy private bedroom just 4 miles from downtown,Private room,41,2,5,0.17
Location  Location  Location,Entire home/apt,118,2,28,0.95
Private Room In Great Location (5 mins to SoCo),Private room,150,1,0,
CASA Austin,Entire home/apt,400,3,5,0.25
Austin Guest Flat - 1000sq ft Home Away From Home,Entire home/apt,77,1,114,3.83
Club at summer valley,Private room,30,1,1,0.03
Right in the heart of Austin Texas,Entire home/apt,180,1,25,1.16
★Dtown Luxury★Heated Pool&Spa★Professional Clean★,Entire home/apt,750,1,45,1.54
Newly Remodeled Hyde Park Studio,Entire home/apt,98,5,36,1.29
2 King Bedrooms in Downtown ATX,Entire home/apt,278,3,16,0.56
Lake Travis Star Retreat,Entire home/apt,237,2,61,2.25
Craftsman-Style Bungalow Perfect For Couples,Entire home/apt,91,2,30,2.62
Cherrywood Gem,Entire home/apt,290,2,9,0.3
New Austin Townhouse - Green Room,Private room,56,1,23,0.78
Collier St Cottage Summer Vacation Rental,Entire home/apt,140,60,0,
One Bedroom- Clean and Quaint,Entire home/apt,50,1,2,0.07
Modern Arboretum apartment,Private room,40,2,12,0.42
Gorgeous  Lake Travis Views   3 story 6 BDRMS  WOW,Entire home/apt,677,2,56,1.93
ATX Amazing House with Big Backyard (Room Rental),Private room,49,1,4,0.14
Rainey St. Condo Available,Entire home/apt,200,3,4,0.14
Stunning Waterfront Retreat on Lake Travis w/ Resort Style Pool | Professionally Cleaned + Hosted By GuestSpaces,Entire home/apt,936,2,40,1.42
Mod Austin Home with Metro Rail Access,Entire home/apt,135,4,33,1.22
Modern Guest House - Hyde Park,Entire home/apt,148,1,4,0.14
Delightful cottage with full kitchen  private washer/dryer  and downtown views!,Entire home/apt,227,1,0,
Bright  clean duplex with full kitchen  fenced backyard  & private washer/dryer!,Entire home/apt,315,2,0,
Cute 1bedroom in old west Austin,Entire home/apt,100,2,1,0.03
Cozy Bungalow in Hyde Park,Entire home/apt,129,1,45,1.57
UT off-campus sublease,Private room,931,1,0,
Close to Downtown Austin 2,Private room,35,1,144,4.88
RARE FIND-PRIVATE ROOM IN LAKE HOUSE.,Private room,78,1,9,0.31
Austin Duplex near Zilker Park,Entire home/apt,111,2,72,2.9
The green house- walk to bars and restaurants,Entire home/apt,150,1,11,0.4
Modern and Spacious Blue Tree House,Entire home/apt,179,2,58,2.25
River Bend  Private rooms and bath in Austin home.,Private room,77,1,9,0.31
2 BR Deluxe Wyndham in Downtown Austin Texas,Private room,234,2,1,0.04
Cute & Quaint Austin Studio 78704,Entire home/apt,70,2,20,0.69
3 bedroom close to Circuit of America and Downtown,Entire home/apt,600,7,1,0.06
Minimalist Studio with a View,Entire home/apt,55,2,6,0.21
Tiny Home out in the country but still in Austin,Entire home/apt,215,2,10,0.57
Eclectic one bedroom in the heart of South Austin,Entire home/apt,100,2,2,0.13
EZ Check-in Historic ECO Pecan Tree House UT DnTwn,Entire home/apt,113,2,72,2.5
Cute 1BD/1BTH Apt. near downtown!,Entire home/apt,59,3,2,0.07
Book & Game Filled Retreat close to the Domain!,Private room,39,30,17,0.61
Walk to Zilker Park From a Light and Airy Bungalow,Entire home/apt,177,1,59,2.31
Pompton,Entire home/apt,120,3,0,
Modern Barn Guest House in Downtown East Austin,Entire home/apt,130,2,21,0.98
Unique White Loft House walking distance to SOCO,Entire home/apt,109,2,59,2.03
Incredible value! Close to downtown and airport.,Private room,39,1,162,5.62
The Provident by Lodgewell >> Private Escape Downtown Austin,Entire home/apt,498,1,43,1.51
Austin Apartment in South Lamar/Close to DNTN,Entire home/apt,89,3,2,0.07
Room in Artistic Gem in the Heart of South Austin,Private room,70,1,67,2.31
Privet bedroom in southeast Austin,Private room,35,1,14,0.49
Modern 2 bedroom Apartment with a Pool View,Entire home/apt,140,2,3,0.11
Private Sanitized Eastside studio apt near Airport,Entire home/apt,53,1,110,3.77
Charming Clarksville Townhome!,Entire home/apt,199,30,0,
Boutique Suite in Renovated Home,Private room,46,1,85,3.32
Austin  TX  2-Bedroom Z #1,Entire home/apt,282,2,6,0.28
Austin  TX  2-Bedroom S #1,Entire home/apt,282,2,0,
Rock & Roll Retreat  10 minutes from downtown,Private room,48,1,11,0.38
Charming home in heart of Central Austin,Entire home/apt,251,2,15,0.61
A breath of fresh air,Entire home/apt,57,7,0,
N. Austin/Round Rock Hidden Gem  Great Location!,Entire home/apt,300,2,20,0.69
Downtown Private Pool | Walk to ACL & UT campus,Entire home/apt,199,2,5,0.18
3 beds! ATX Night Life,Private room,50,1,102,3.5
Beautifully Renovated Hyde Park Haven,Entire home/apt,250,30,4,0.15
PRIVATE ENTRANCE ($37)  Please read description.,Private room,37,4,122,4.91
The Merlowe Breathtaking 17Ac Dripping Springs/ATX,Entire home/apt,736,2,65,2.35
A+ East Austin location  house  people & pets!,Private room,45,1,17,0.59
Cozy Central Getaway,Entire home/apt,99,2,3,0.11
Old Enfield Casita,Entire home/apt,60,30,92,3.18
Cozy Room in Mid-Century Home with Greenbelt Views,Private room,78,2,21,0.78
Crestview New Modern House,Entire home/apt,120,45,0,
Peaceful retreat nestled in South Austin,Private room,52,2,56,1.97
Entire home in ATX  minutes to downtown,Entire home/apt,74,4,0,
Full Unicorn Home!!!!!,Entire home/apt,110,2,14,0.58
Cottage Feel in the City - Unit A,Entire home/apt,67,30,8,0.34
The Domain/ACL/COTA/SXSW...IDEAL LOCATION!,Entire home/apt,145,2,99,3.46
Room for Rent,Private room,35,21,6,0.21
Hudson Bend Retreat (custom-built attached studio),Entire home/apt,85,2,103,3.6
Soak up the City in this Charming Austin Retreat,Private room,40,1,0,
ENTIRE apartment! Privacy  convenience & serenity!,Entire home/apt,39,2,10,0.35
The Virgo Den,Entire home/apt,180,1,1,0.03
One room in lovely Zilker Neighborhood,Private room,40,1,6,0.24
Unfurnished private apt in SoCo-great for WFH!,Entire home/apt,74,30,81,3.03
Spacious modern family house w/ great garden.,Entire home/apt,195,29,10,0.37
Quiet South Austin condo with kitty care,Entire home/apt,79,2,18,0.63
☆ Smart Home - Private Room: 5 Min To Airport ☆,Private room,35,1,118,4.11
2/2 Shoal Creek Retreat,Entire home/apt,200,2,68,2.48
Next to UT   3 Miles to Downtown  Pro Cleaning,Entire home/apt,149,1,113,3.92
Retreat by the Creek,Entire home/apt,201,2,44,1.54
Quirky  Modern & Comfy House  10 Min from Downtown,Entire home/apt,350,1,8,0.29
Eagles Nest - Breathtaking Views!,Entire home/apt,256,2,72,2.57
Izabella - 5 minutes to downtown!!,Entire home/apt,186,2,7,0.27
⭐️10min to DT⭐️Sparkling Clean ⭐️Private Backyard,Entire home/apt,357,2,71,2.52
Downtown Austin - 2BR Presidential - Rooftop Pool,Entire home/apt,258,2,0,
Private room JUST MINUTES FROM DOWNTOWN,Private room,50,1,1,0.04
THIS IS THE PLACE YOU WANT TO STAY!,Entire home/apt,91,30,5,0.32
Beautiful downtown 3 bedroom house w/ fenced yard!,Entire home/apt,140,2,68,2.61
Gorgeous Craftsman-style Home in Central Austin,Entire home/apt,295,5,2,0.07
♥♥ Luxury 2BR/2BA Suite w/2 King Beds!!! ♥♥ (51),Entire home/apt,362,180,47,1.66
Entire 2nd floor w/ living space & private bath!!,Private room,50,2,30,1.05
Swank Luxury 2/2 Bungalow in SoCo Downtown Austin,Entire home/apt,313,2,31,1.18
Cozy East Riverside Town home with Garage,Entire home/apt,89,1,79,2.88
♥♥ Luxury 2BR/2BA Suite w/2 King Beds!!! ♥♥ (16),Entire home/apt,352,180,52,1.85
Private Room and Bath in Awesome Location!,Private room,70,2,15,0.55
Lake Austin Retreat - Social Distance! WalkerVR Brand New & Modern Escape with 3-Story Boat Dock,Entire home/apt,1023,2,4,0.22
Great location for exploring Austin!,Entire home/apt,50,30,85,3.01
Downtown Modern  Best Location,Entire home/apt,179,3,53,1.98
Downtown east Austin beautiful & convenient house,Entire home/apt,109,2,67,2.39
Modern Downtown Home-Walk or Bike to Everything,Entire home/apt,446,2,50,1.76
Eclectic Bohemian South Austin Home,Entire home/apt,150,1,34,1.27
East Side House - Close to Everything,Entire home/apt,139,2,14,0.51
Happy Yellow CedarCottage walking distance to SOCO,Entire home/apt,127,2,68,2.42
4 000SF Luxury Villa | #1 Staycation | Huge Yard,Entire home/apt,757,3,39,1.64
AirBNB Circle,Entire home/apt,96,2,17,0.65
♥♥ Luxury 2BR/2BA Suite w/2 King Beds!! ♥♥ (21),Entire home/apt,262,180,55,1.97
Stillwood Lodge private entrance/studio,Private room,41,1,183,6.5
Rooftop Deck  Bed  & Bath - Walk to Eastside SXSW!,Private room,79,3,6,0.21
Minimalist | nature space | Cowork | East Austin,Private room,59,1,23,0.81
PRIME LOCATION & SPECTACULAR VIEW!!,Entire home/apt,75,1,5,0.18
The Pink House,Entire home/apt,129,2,31,1.28
South Austin Home - Minutes to South Congress & DT,Entire home/apt,275,30,51,1.86
Private 1 bed apt in heart of SoCo- walk to ACL!,Entire home/apt,95,1,21,0.74
FULL HOME! East Austin Gem- Great location!,Entire home/apt,307,3,62,2.22
Beautiful Lakefront Guest House Steps from Lake Travis & Just 20 miles from DT Austin!,Entire home/apt,440,3,7,0.36
Colorful and Spotless 1BR☆King Bed☆Workspace,Entire home/apt,103,3,64,3.1
Downtown Austin - 2BR Suite Rooftop Pool,Entire home/apt,238,3,0,
Central East Austin Modern Home - Downtown Views,Entire home/apt,590,3,3,0.14
★Downtown Loft by 6th St.★ Convention Center!,Entire home/apt,121,1,103,3.63
Downtown Retreat @ Casa Nueces III,Entire home/apt,99,1,132,4.69
AT Texas Bungalows Studio Austin/Domain North,Private room,59,1,10,2.19
Heated Pool + Backyard Oasis - The Darling Dancy | Professionally Cleaned + Hosted By GuestSpaces,Entire home/apt,507,2,51,1.89
Quaint Home in quirky South Austin,Entire home/apt,350,1,17,1.44
Austin home w/free WiFi/full kitchen/piano - short walk to South Congress Ave!,Entire home/apt,527,2,77,2.81
☀ Private Room ☀ 5 Min From Airport + Extras,Private room,36,1,91,3.24
Luxury waterfront living w/ gorgeous view  balcony  & full kitchen,Entire home/apt,298,2,10,0.36
Pool View in Hip South Lamar,Entire home/apt,67,1,123,4.41
Master Suite/Own Entrance 20 min to downtown/lakes,Private room,45,2,37,1.4
Modern Flat on TownLake Trail  5min to Downtown,Entire home/apt,108,2,90,3.26
Tiny House in East Side Citrus Grove,Entire home/apt,105,30,33,1.21
Light-Filled Loft near Lady Bird Lake,Entire home/apt,104,1,246,8.87
Spacious  Fully Loaded Home in South Austin!,Entire home/apt,180,31,5,0.2
East Austin 1 BR walking distance from nightlife,Entire home/apt,95,2,56,2.03
Neverland House!,Entire home/apt,154,2,45,1.7
Loco For SoCo,Entire home/apt,899,2,230,8.17
1 Bedroom - The Red Door Retreat on the lake,Private room,129,2,0,
Pete's place,Entire home/apt,121,2,46,1.89
Private room in New  Modern East Austin Home,Private room,69,2,31,1.15
Go Kayaking Near a Colorful and Artful House in East Austin,Entire home/apt,600,3,8,0.42
Colorful  Art-Filled East Austin Town-home,Private room,125,2,23,0.93
The Inn at Jennifer's Gardens,Entire home/apt,385,1,51,1.93
Zilker Area Airstream!,Entire home/apt,88,2,92,3.29
Casa del Sol,Entire home/apt,99,1,4,0.15
Home Away from Home / Suite B,Private room,65,1,11,0.56
Central Hyde Park Condo,Entire home/apt,79,30,6,0.23
Explore Downtown parks-sites! Kayak-paddle board!,Entire home/apt,116,2,98,3.51
Castle Hill Bungalow  2 units One Up one Down,Entire home/apt,179,2,20,0.75
Bouldin Beauty w/ Master Retreat  Garage Apartment  + Yard | Professionally Cleaned + Hosted By GuestSpaces,Entire home/apt,5978,2,20,0.78
The Shady Oak Abode - 3/2 entire home,Entire home/apt,198,3,25,0.91
Enchanted Garden Home- Private Room,Private room,80,1,7,0.25
7 days min Austin Parking Home Office Kitchen 3,Private room,31,1,60,2.14
Updated 3/2 - 10 minutes to Downtown,Entire home/apt,214,2,1,0.04
Artsy Brentwood Private Studio,Entire home/apt,56,21,105,4.01
Downtown Luxury Condo on River + Pool + Fiber Wifi,Private room,154,3,19,0.69
Beer  tacos  and a pool... I mean  what else?,Entire home/apt,250,1,2,0.07
Routinely DISINFECTED! Cozy condo near downtown!,Entire home/apt,39,1,90,3.34
Modern tree top get away with a view!,Entire home/apt,195,1,52,1.87
Shoal Creek Greenbelt,Entire home/apt,250,2,32,1.19
Lovely Condo in 4-Plex near South Lamar,Entire home/apt,75,1,4,0.14
Studio on east 6st!,Entire home/apt,120,2,10,0.36
Sweet 1 BR Apt Sleeps 4  Pool  Tennis-10 Min to DT,Entire home/apt,59,2,49,1.76
Dog Friendly | Travis Heights | Extended Stay,Entire home/apt,87,29,5,0.2
Lake Travis 3.5 Acre Luxury Estate,Entire home/apt,1500,2,11,0.45
Small 1 bedroom near downtown,Entire home/apt,206,1,3,0.12
Modern Apartment in South Lamar Neighborhood #31,Entire home/apt,200,2,15,0.6
Zilker Stone Cottage—Walk to ACL!,Entire home/apt,925,3,5,0.25
East Austin Luxury Custom home + Studio Apartment,Entire home/apt,1232,1,10,0.52
Evans: Shared Room in Awesome Community,Shared room,23,29,1,0.04
Best place for up to 6 guests near DT and airport,Entire home/apt,120,1,30,1.14
Home w/ 3 Acres: 4 Mi to Circuit of the Americas!,Entire home/apt,145,2,3,0.18
Explore Downtown Austin from a Hip Condo with a Balcony,Entire home/apt,200,2,103,3.78
Comfy Bijou Studio in Trendy East Austin,Entire home/apt,129,2,101,3.81
Austin Flats #100,Entire home/apt,138,2,67,2.7
Refurbished Bungalow with Backyard Patio,Entire home/apt,200,3,6,0.25
South Congress “Tiny House”,Entire home/apt,119,2,43,1.56
Stay Green: Mueller Scandinavian Row Apartment,Entire home/apt,98,1,95,3.75
Chic East Downtown Condo. Six Blocks to City Core. Pool.,Entire home/apt,42,2,182,6.61
New SE home near COTA  ACL 12 miles to downtown,Entire home/apt,300,2,0,
5★DOWNTOWN Condo~NO CLEAN FEE~Sleep 4~ROOFTOP POOL,Entire home/apt,306,2,9,0.33
Travis Heights Private Retreat,Entire home/apt,1000,1,11,0.42
Offbeat Central - Crestview - 10 miles from SXSW,Entire home/apt,137,1,79,2.91
Sunny Sexton South Central ATX 2BD/1BA,Entire home/apt,108,30,48,1.77
Camping in the city,Entire home/apt,75,2,30,1.21
Smart Home. Great Work Space. Dog-friendly.,Private room,37,1,24,1.54
Upscale Room 4mi from Downtown,Private room,66,2,21,0.78
Modern East Austin Loft,Entire home/apt,125,12,7,0.29
West 10th st Clarksville Condo,Entire home/apt,147,2,5,0.2
Large Modern Home - Walk to Zilker/Barton Springs,Entire home/apt,600,3,7,0.27
Little Zilker Green House,Entire home/apt,80,1,27,1.51
Shadetree Studio located in East Austin,Entire home/apt,121,2,53,2.3
Austin House,Private room,122,1,5,0.18
Austin Apartment! Your home away from home!,Entire home/apt,120,2,4,0.15
Beautifully updated Hancock condo - Perfect for Work From Home or Stay-cations,Entire home/apt,105,1,65,2.46
Cozy Studio(1/1)Hyde Park  Downtown  SXSW  ACL  UT,Entire home/apt,102,1,42,1.65
Cute and Private studio close to downtown  airport,Entire home/apt,53,1,71,2.64
The Coolest House in Austin!,Entire home/apt,108,2,6,0.22
Spacious 2-story Zilker condo/home,Entire home/apt,250,2,2,0.16
Fitzhugh Guest Suite,Entire home/apt,96,2,43,1.59
Downtown Austin Penthouse Suite Condominium,Entire home/apt,342,1,50,1.88
S.Austin Condo 2bd 1ba Pool Laundry patio  near DT,Entire home/apt,99,2,35,2.73
Designer Condo with SuperHost (1000+ 5 Stars),Entire home/apt,68,1,82,3.26
Beautiful lakefront home w/outdoor fire  patio & Netflix streaming,Entire home/apt,172,2,26,0.96
Modern home - Minutes from DT - Exclusive area,Entire home/apt,607,2,3,0.12
Hyde Park Cottage!,Entire home/apt,165,5,1,0.04
N.Lamar: Economic Spot in Great Community 5,Shared room,16,30,3,0.12
Studio apt in prime central Austin free parking,Entire home/apt,50,2,9,0.39
Mila’s Modern Getaway steps from Lady Bird Lake,Entire home/apt,194,2,118,4.38
DOWNTOWN  Parkside Suite! 4 Beds  Sleeps 7,Entire home/apt,169,3,47,1.74
Totally Austin House - near Barton Springs & SOCO,Entire home/apt,129,2,69,2.5
Stunning Houseboat With Picturesque Lake View - HB,Entire home/apt,603,1,8,0.3
Modern Tiny Home on Lady Bird Lake w/ Elevator Bed,Entire home/apt,108,3,51,1.87
Downtown Austin - 2 Bedroom Luxury Condo,Entire home/apt,325,1,15,0.58
Peaceful and Quiet Home in Prime Downtown Location,Entire home/apt,150,2,13,0.48
Modern Lake Travis Retreat with Pool,Entire home/apt,550,2,2,0.12
Great industrial style home steps from downtown!,Entire home/apt,400,2,0,
Spacious & Comfy Boho Condo in Austin  TX,Private room,75,2,7,0.26
SoLa apartment with a greenbelt view,Entire home/apt,100,1,1,0.04
Spacious North Austin House,Entire home/apt,164,2,47,2.45
“The Bird”,Entire home/apt,91,2,79,2.93
EAST ATOMIC RANCH - tiny house,Entire home/apt,50,1,231,8.45
Charlotte's Funky Musician's Pad private room,Private room,34,1,118,8.59
QUIET PRIVATE Getaway Minutes From Downtown ATX,Private room,80,2,12,0.44
Bernadette - 2 minutes to downtown!!,Entire home/apt,273,2,47,1.77
1 Bedroom Condo at Wyndham Austin Resort,Private room,500,2,0,
Private Casita-Style Condo on West 6th Street,Entire home/apt,152,2,59,2.23
Beautiful South Austin Home minutes from downtown,Private room,49,2,12,0.47
1 Bedroom Condo at Wyndham Austin Resort,Entire home/apt,371,5,0,
Artist Haven! Close to greenbelt and downtown!,Private room,75,1,1,0.04
Awesome One Room Studio in Austin,Entire home/apt,88,1,91,3.35
Cozy apartment centrally located in East Austin,Entire home/apt,103,3,27,1.09
Your own little slice of the East Side,Entire home/apt,161,29,76,2.84
Private Room in SOCO,Private room,31,1,229,8.45
Owl House Private Apt. Quiet  Walk to Everything,Entire home/apt,110,2,71,2.83
2 163 sqft house 4BR/2BA in great neighborhood,Entire home/apt,264,6,1,0.07
3118 - Modern & stylish 2BR/2BA Suite w/ 2 King Beds (18),Entire home/apt,9999,1,49,1.88
♥♥ Luxury 2BR/2BA Suite w/2 King Beds!!! ♥♥ (23),Entire home/apt,354,180,59,2.26
Cozy Room in ATX Cottage,Private room,32,30,6,0.42
Downtown Mueller Spacious Two Bedroom House,Entire home/apt,169,1,4,0.16
Lake Austin Traditional,Entire home/apt,1400,2,3,0.15
Mid Century Studio Home In East Austin,Entire home/apt,200,1,42,1.56
Austin House,Private room,45,1,23,0.85
Clean  Comfy & Quiet private room near South 1st,Private room,58,1,26,1.06
East Side Room - Great Location,Private room,45,2,14,0.53
Modern Condo at Wyndham Austin,Entire home/apt,233,3,0,
Zilker - South Lamar Condo,Entire home/apt,60,30,1,0.05
Cozy Cabin in the Woods of Westlake,Entire home/apt,199,2,63,2.35
Great Austin Downtown condo  near all .,Entire home/apt,150,1,9,0.35
Stay at the Enclave,Entire home/apt,151,2,21,0.8
A Home away from home.,Entire home/apt,95,1,18,0.73
Stylish Creekside Cottage | 2 bikes | Wine&Snacks,Entire home/apt,105,3,87,6
House on the Hill,Entire home/apt,379,3,76,2.91
N.Lamar: Shared Room for Two People,Shared room,23,30,6,0.26
N.Lamar: Shared Room for 2 People,Shared room,23,29,3,0.12
Airstream Oasis,Entire home/apt,88,1,54,2.02
Modern & Minimal Austin Apartment,Entire home/apt,100,2,8,0.3
The 'Plex—Central Austin Retreat close to Downtown,Entire home/apt,150,5,45,1.78
Bed  Bath and Beyond! 5 miles south of downtown,Private room,25,30,12,0.48
HOTELette- Voted Best Staycation by Austin Monthly,Entire home/apt,614,2,26,1.13
Tarrytown Garage Apartment,Entire home/apt,100,2,50,1.87
Private room Oasis  with private entrance.,Private room,97,1,96,3.85
Relaxing fun plays to hang out.,Entire home/apt,65,6,1,0.04
Breathtaking City views from East Austin Studio,Entire home/apt,74,1,210,7.87
A Central Austin Oasis,Entire home/apt,296,2,6,0.23
Upscale Condo  washer/dryer inside  gym  parking,Entire home/apt,69,90,12,0.48
Condo at Wyndham Austin Resort,Entire home/apt,265,3,5,0.26
Heated Pool  Pet Friendly  4 Min to Downtown - Travis Heights Treasure | Professionally Cleaned + Hosted By GuestSpaces,Entire home/apt,738,2,34,1.28
Private Bedroom/Bathroom in Mueller Condo,Private room,56,1,21,1.23
Designer Home - Outdoor Theater  Walk to South 1st,Entire home/apt,476,2,5,0.2
Central Austin Hidden Oasis,Entire home/apt,499,4,1,0.04
Centralized Home to Maximize your Visit!,Entire home/apt,50,30,59,2.21
Stardust Bunglaow,Entire home/apt,176,3,15,0.84
Serenity in the City Upscale Downtown Capitol View,Entire home/apt,125,30,1,0.05
Little lakeway castle,Entire home/apt,350,2,9,0.34
